,Hole,Round,Birdie,Bogey,Double Bogey,Eagle,Other,Par
11,3,3,"Brooks Koepka, Xander Schauffele, Tony Finau, Rickie Fowler, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Matthew Fitzpatrick, Si Woo Kim, Jordan Spieth, Kyle Stanley, Hideki Matsuyama, Patrick Reed, Henrik Stenson, Kevin Tway, Keegan Bradley, Marc Leishman, Trevor Immelman, Devon Bling, Tyrrell Hatton, Zach Johnson, Takumi Kanaya","Keith Mitchell, Emiliano Grillo",NA,NA,NA,"Tiger Woods, Dustin Johnson, Jason Day, Francesco Molinari, Webb Simpson, Patrick Cantlay, Jon Rahm, Ian Poulter, Aaron Wise, Adam Scott, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Jimmy Walker, Haotong Li, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Cameron Smith, Billy Horschel, Branden Grace, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren"
12,3,4,"Tiger Woods, Phil Mickelson, Kevin Kisner, Bryson DeChambeau, Charley Hoffman, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Haotong Li, Keith Mitchell, Andrew Landry","Dustin Johnson, Xander Schauffele, Jon Rahm, Matthew Fitzpatrick, Patrick Reed, Jimmy Walker, Keegan Bradley, Kiradech Aphibarnrat, Martin Kaymer, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira",NA,NA,NA,"Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Tommy Fleetwood, Henrik Stenson, Kevin Tway, Corey Conners, Kevin Na, Marc Leishman, Trevor Immelman, Eddie Pepperell, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren"
13,4,1,"Jon Rahm, Bryson DeChambeau, Kevin Tway, Branden Grace, Emiliano Grillo, Bernhard Langer","Tony Finau, Justin Thomas, Matthew Fitzpatrick, Kevin Kisner, Kyle Stanley, Patrick Reed, Jimmy Walker, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Billy Horschel, Takumi Kanaya, Satoshi Kodaira, Alex Noren, Kevin O'Connell, Mike Weir, Charl Schwartzel, Brandt Snedeker, Larry Mize, Jovan Rebula, Paul Casey, Michael Kim, Ian Woosnam, Angel Cabrera","Lucas Bjerregaard, Shugo Imahira",NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Justin Harding, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Zach Johnson, J.B. Holmes, Stewart Cink, Sergio Garcia, Sandy Lyle, Justin Rose, Danny Willett, Fred Couples, Adam Long, Shane Lowry, Matt Wallace, Vijay Singh, Jose Maria Olazabal"
14,4,2,"Tiger Woods, Matt Kuchar, Louis Oosthuizen, Gary Woodland, Keegan Bradley, Marc Leishman, Devon Bling","Brooks Koepka, Viktor Hovland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Corey Conners, Martin Kaymer, Branden Grace, Takumi Kanaya, Mike Weir, Charl Schwartzel, Ian Woosnam",Billy Horschel,NA,NA,"Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh, Angel Cabrera, Jose Maria Olazabal"
15,4,3,"Patrick Cantlay, Rickie Fowler, Rory McIlroy, Charley Hoffman","Jon Rahm, Justin Harding, Patton Kizzire, Lucas Bjerregaard, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keith Mitchell, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Devon Bling, Emiliano Grillo, J.B. Holmes",Si Woo Kim,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Keegan Bradley, Haotong Li, Corey Conners, Andrew Landry, Kevin Na, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Bernhard Langer, Alex Noren"
16,4,4,"Jordan Spieth, Hideki Matsuyama, Marc Leishman","Tiger Woods, Jason Day, Patrick Cantlay, Justin Harding, Matt Kuchar, Patton Kizzire, Rory McIlroy, Viktor Hovland, Kevin Tway, Haotong Li, Trevor Immelman, Cameron Smith, Branden Grace, Satoshi Kodaira, Bernhard Langer","Adam Scott, Takumi Kanaya",NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Emiliano Grillo, J.B. Holmes, Alex Noren"
17,5,1,"Hideki Matsuyama, Gary Woodland, Marc Leishman, Billy Horschel","Tiger Woods, Xander Schauffele, Jon Rahm, Justin Harding, Matthew Fitzpatrick, Louis Oosthuizen, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Trevor Immelman, Eddie Pepperell, Devon Bling, Emiliano Grillo, Stewart Cink, Sandy Lyle, Kevin O'Connell, Justin Rose, Danny Willett, Fred Couples, Charl Schwartzel, Brandt Snedeker, Matt Wallace, Ian Woosnam, Angel Cabrera","Patrick Cantlay, Paul Casey",NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Cameron Smith, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Mike Weir, Adam Long, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Michael Kim, Vijay Singh, Jose Maria Olazabal"
18,5,2,"Jason Day, Charles Howell III, Rafa Cabrera Bello, Devon Bling, Kevin O'Connell","Tiger Woods, Patrick Cantlay, Bubba Watson, Aaron Wise, Phil Mickelson, Si Woo Kim, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Viktor Hovland, Henrik Stenson, Kevin Tway, Keegan Bradley, Kiradech Aphibarnrat, Martin Kaymer, Cameron Smith, Billy Horschel, Takumi Kanaya, Bernhard Langer, Sergio Garcia, Justin Rose, Danny Willett, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Jovan Rebula, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal","Alex Noren, Sandy Lyle",NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Jordan Spieth, Bryson DeChambeau, Louis Oosthuizen, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Marc Leishman, Trevor Immelman, Eddie Pepperell, Tyrrell Hatton, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Stewart Cink, Mike Weir, Fred Couples, Adam Long, Larry Mize, Matt Wallace, Paul Casey, Michael Kim"
19,5,3,Keegan Bradley,"Tiger Woods, Brooks Koepka, Justin Harding, Bubba Watson, Phil Mickelson, Adam Scott, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Patrick Reed, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Cameron Smith, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, J.B. Holmes",Lucas Bjerregaard,NA,NA,"Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Aaron Wise, Patton Kizzire, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Charley Hoffman, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Takumi Kanaya, Emiliano Grillo, Bernhard Langer, Alex Noren"
20,5,4,"Patrick Cantlay, Phil Mickelson, Matthew Fitzpatrick","Tiger Woods, Xander Schauffele, Tony Finau, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Hideki Matsuyama, Alvaro Ortiz, Henrik Stenson, Corey Conners, Marc Leishman, Eddie Pepperell, Cameron Smith, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Alex Noren",Haotong Li,NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Kevin Tway, Jimmy Walker, Keegan Bradley, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, J.B. Holmes"
