Hole,Round,Result,Players
1,4,Par,"Tiger Woods,ÿDustin Johnson,ÿBrooks Koepka,ÿJason Day,ÿTony Finau,ÿFrancesco Molinari,ÿWebb Simpson,ÿJon Rahm,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿAaron Wise,ÿAdam Scott,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿKevin Kisner,ÿKyle Stanley,ÿBryson DeChambeau,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿHaotong Li,ÿCorey Conners,ÿKevin Na,ÿKiradech Aphibarnrat,ÿTrevor Immelman,ÿMartin Kaymer,ÿCameron Smith,ÿDevon Bling,ÿBilly Horschel,ÿBranden Grace,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿEmiliano Grillo,ÿJ.B. Holmes"
1,4,Bogey,"Phil Mickelson,ÿLucas Bjerregaard,ÿThorbjorn Olesen,ÿCharley Hoffman,ÿKevin Tway,ÿKeegan Bradley,ÿMarc Leishman,ÿZach Johnson,ÿAlex Noren"
1,4,Double Bogey,Tyrrell Hatton
2,1,Eagle,Patton Kizzire
2,1,Birdie,"Tiger Woods,ÿDustin Johnson,ÿBrooks Koepka,ÿXander Schauffele,ÿJason Day,ÿFrancesco Molinari,ÿPatrick Cantlay,ÿMatt Kuchar,ÿIan Poulter,ÿAaron Wise,ÿPhil Mickelson,ÿLucas Bjerregaard,ÿKevin Kisner,ÿJordan Spieth,ÿKyle Stanley,ÿBryson DeChambeau,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿViktor Hovland,ÿGary Woodland,ÿTommy Fleetwood,ÿKevin Tway,ÿKeegan Bradley,ÿHaotong Li,ÿAndrew Landry,ÿKevin Na,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿTyrrell Hatton,ÿBranden Grace,ÿTakumi Kanaya,ÿEmiliano Grillo,ÿBernhard Langer,ÿAlex Noren,ÿStewart Cink,ÿSandy Lyle,ÿDanny Willett,ÿFred Couples,ÿMichael Kim"
2,1,Par,"Tony Finau,ÿRickie Fowler,ÿJon Rahm,ÿJustin Harding,ÿJustin Thomas,ÿBubba Watson,ÿAdam Scott,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿRory McIlroy,ÿThorbjorn Olesen,ÿCharles Howell III,ÿRafa Cabrera Bello,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿJimmy Walker,ÿKeith Mitchell,ÿCorey Conners,ÿKiradech Aphibarnrat,ÿMarc Leishman,ÿCameron Smith,ÿDevon Bling,ÿZach Johnson,ÿSatoshi Kodaira,ÿJ.B. Holmes,ÿSergio Garcia,ÿKevin O'Connell,ÿJustin Rose,ÿMike Weir,ÿAdam Long,ÿCharl Schwartzel,ÿBrandt Snedeker,ÿShane Lowry,ÿLarry Mize,ÿJovan Rebula,ÿPaul Casey,ÿVijay Singh,ÿIan Woosnam,ÿAngel Cabrera"
2,1,Bogey,"Webb Simpson,ÿHideki Matsuyama,ÿBilly Horschel,ÿShugo Imahira,ÿMatt Wallace"
2,1,Double Bogey,Jose Maria Olazabal
2,2,Birdie,"Xander Schauffele,ÿJason Day,ÿWebb Simpson,ÿJon Rahm,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿMatthew Fitzpatrick,ÿJordan Spieth,ÿBryson DeChambeau,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿTommy Fleetwood,ÿPatrick Reed,ÿKeegan Bradley,ÿCameron Smith,ÿBilly Horschel,ÿBranden Grace,ÿZach Johnson,ÿEmiliano Grillo,ÿAlex Noren,ÿSandy Lyle,ÿJustin Rose,ÿDanny Willett,ÿCharl Schwartzel,ÿMatt Wallace,ÿIan Woosnam"
2,2,Par,"Tiger Woods,ÿDustin Johnson,ÿTony Finau,ÿFrancesco Molinari,ÿPatrick Cantlay,ÿRickie Fowler,ÿJustin Harding,ÿAdam Scott,ÿLucas Bjerregaard,ÿSi Woo Kim,ÿKevin Kisner,ÿThorbjorn Olesen,ÿKyle Stanley,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿGary Woodland,ÿRafa Cabrera Bello,ÿAlvaro Ortiz,ÿHenrik Stenson,ÿKevin Tway,ÿHaotong Li,ÿKeith Mitchell,ÿCorey Conners,ÿAndrew Landry,ÿKevin Na,ÿKiradech Aphibarnrat,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿTyrrell Hatton,ÿTakumi Kanaya,ÿJ.B. Holmes,ÿBernhard Langer,ÿStewart Cink,ÿSergio Garcia,ÿFred Couples,ÿBrandt Snedeker,ÿShugo Imahira,ÿShane Lowry,ÿLarry Mize,ÿJovan Rebula,ÿPaul Casey,ÿMichael Kim,ÿVijay Singh,ÿAngel Cabrera"
